,sentence,label
0,far good,0
1,sound quality good functionality awesome,0
2,write thesis proposal,1
3,sweep bedroom floor,1
4,definitly recommend,0
5,translate paragraph english,1
6,usable keyboard actually turns pda realworld useful machine instead neat gadget,0
7,fetch friend bring us home,1
8,great choice,0
9,buy groceries,1
10,carry stuff,1
11,good works fine,0
12,battery holding well,0
13,defeats purpose bluetooth headset,0
14,none works dont buy,0
15,also slim enough fit alarm clock docking station without removing case,0
16,jiggle plug get line right get decent volume,0
17,reception generally good,0
18,use smallest earpieces provided stays pretty well,0
19,beautiful phone,0
20,logitech bluetooth headset 10,0
21,buy coffee grocery store,1
22,conduct survey,1
23,fix non funtional electronics,1
24,dont trust website dont expect helpful support,0
25,would take long describe bad customer service experience amazon,0
26,loud enough doesnt turn like,0
27,drive mother father mall,1
28,love phone,0
29,company charge restocking fee still given refund back,0
30,doesnt last long,0
31,bought nokia cell phone weeks ago nightmare,0
32,poor construction,0
33,verizon lg phone work well together good reception range exceeds 20 feet line sight,0
34,windresistant,0
35,soyo technology sucks,0
36,span hour two people exclaim whoa new phone tv,0
37,got phone around end may im completely unhappy,0
38,buying paracetamol pharmacy,1
39,small sleek impressive looking practical setup ample storage place,0
40,clean surroundings,1
41,bring bondpapers,1
42,design odd ear clip comfortable,0
43,cleaning bedroom,1
44,holster arrived match photo ad,0
45,write abstract part research,1
46,save money ive item 11 months,0
47,disappointment,0
48,satisifed,0
49,verizon tech support walked procedures none worked ended hard reset wiping data,0
50,managed bend leaf spring back place metal enough stress break next drop,0
51,tracfonewebsite user friendly makes easy toactivate etc,0
52,best rotating feature helpful,0
53,price great deal,0
54,works great,0
55,doesnt work europe asia,0
56,great hands free device,0
57,help mom hail taxi,1
58,set chairs venue,1
59,customer service terrible,0
60,prosgood camera nice pictures also cool styles like black white,0
61,price good,0
62,want money back,0
63,restored phone like new performance,0
64,im disappointed decision,0
65,muddy low quality sound casing around wires insert poorly super glued slid,0
66,nearly good looking amazon picture makes look,0
67,carry someones heavy luggage,1
68,one big drawback mp3 player buttons phones front cover let pause skip songs lock seconds,0
69,voice quality signal strength dropped calls,0
70,buy meat fish vegetables market,1
71,looking shop,1
72,2 thumbs seller,0
73,dont buy,0
74,battery unreliable well service use antena,0
75,work,0
76,two seperated mere 5 ft started notice excessive static garbled sound headset,0
77,clean everything inside house,1
78,sweep floor,1
79,love cable allows connect miniusb device pc,0
80,impressed product,0
81,dont waste money,0
82,worst piece crap ever along verizon customer service,0
83,cook food,1
84,great reception time,0
85,must study anyone interested worst sins industrial design,0
86,makes easier keep bluetooth im wearing,0
87,looks great strong,0
88,works fine,0
89,iron clothes,1
90,writing graduate program thesis,1
91,disappointing,0
92,piece junk,0
93,bad quality,0
94,put dirty clothes washing machine,1
95,protects phone sides,0
96,impressed,0
97,great sound service,0
98,good quality though,0
99,impressed headset plantronics,0
100,placed treo case snug lot extra room sides,0
101,love camera really pretty good quality,0
102,cheap hey works pleasantly suprised given low cost item,0
103,excited get headset thought really cute,0
104,print files,1
105,clean familys house entirely,1
106,buy groceries,1
107,buyerbe careful,0
108,great tool entertainment communication data managementoh sure use activesync 42 optimal data synchronization results,0
109,really wanted plantronics 510 right one many issues methe good,0
110,comfortable,0
111,buying mineral water grocery,1
112,rip charge shipping,0
113,ears occupied background distracting,0
114,walk dog outside,1
115,treo tmobile refused replace forced buy another phone without kind upgrade discount,0
116,drive friend mall,1
117,writing communication letter sister company,1
118,couldnt use unit sunglasses good texas,0
119,generate reports,1
120,bought battery coupon amazon im happy purchase,0
121,good audio quality,0
122,battery excellent bargain,0
123,phone year tell great,0
124,know made wise decision,0
125,good protection make phone bulky,0
126,products cover important light sensor ear outlet,0
127,set venue chairs,1
128,really pleased product far,0
129,love look feel samsung flipphones,0
130,performed awful muffled tinny incoming sound severe echo end call,0
131,great case price,0
132,wash car,1
133,biggest complaint battery drains superfast,0
134,bad choice,0
135,defective crap,0
136,would recommend item anyone,0
137,feed cat,1
138,thing disappoint infra red port irda,0
139,none new ones ever quite worked properly,0
140,would recommend item,0
141,pretty piece junk,0
142,cook food,1
143,warning buy,0
144,buy groceries,1
145,think good investment,0
146,mine year christmas bought rest family,0
147,satisfied cell phone day one,0
148,drive mall,1
149,another note phones appearance really looks rather bland especially black model,0
150,send documents email,1
151,talking seminar presentation,1
152,preparing clothes outfit,1
153,good product well made,0
154,bring bondpaper,1
155,buying coffee store,1
156,used several phone two years one best,0
157,oh forgot also mention weird color effect phone,0
158,refuse refund replace,0
159,much less jawbone going replace,0
160,also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,0
161,buy groceries,1
162,light weight hardly notice,0
163,year battery went completely dead headset,0
164,however keypads tinny sometimes reach wrong buttons,0
165,features want,0
166,especially love long battery life,0
167,babysit child im work,1
168,really ugly,0
169,obviously terrible customer service get pay,0
170,talking seminar presentation,1
171,plugged find darn thing worked,0
172,doesnt make look cool,0
173,internet excrutiatingly slow,0
174,bt headset disapoinment,0
175,horrible horrible protector,0
176,excellent starter wireless headset,0
177,even dropped phone stream submerged 15 seconds still works great,0
178,submit reports,1
179,ive bluetooth weeks really like,0
180,works,0
181,design webpage,1
182,really recommend faceplates since looks nice elegant cool,0
183,little device transformed organizational capability made life whole lot easier,0
184,came verizon cingulair nicer cell phones first thing noticed really bad service,0
185,update procedure difficult cumbersome,0
186,useless phone simply deaf,0
187,works great,0
188,case best part download pictures laptop using ir even send pictures laptop phone,0
189,works great,0
190,received headset good time happy,0
191,reception excellent,0
192,could get strong enough signal,0
193,picture resolution far comparablypriced phones offering today,0
194,buy market,1
195,care consumer one bit,0
196,bad purchase,0
197,dit work time nokia 5320,0
198,battery life real good,0
199,battery working well replacement original came phone 2 years ago,0
200,cable looks thin flimsy scary,0
201,sucked stuff work phone,0
202,definitely must state allow cell phone usage driving,0
203,internet access fine rare instance worked,0
204,would highly recommend,0
205,essentially communications tool communicate,0
206,jabra ear gels r best,0
207,cutouts buttons placed perfectly,0
208,carry backpack,1
209,one favorite purchases ever,0
210,worthless product,0
211,survey saleable products business,1
212,clean bedroom,1
213,definitely bargain,0
214,buy mineral water store,1
215,five star plus plus,0
216,make lecture planner,1
217,wind completely useless,0
218,nice sound,0
219,thank wasting money,0
220,worst customer service ever,0
221,need least 3 mins get phone book time first turn phonebattery life short,0
222,razr owneryou must,0
223,might gotten defect would risk buying built quality alone,0
224,price good free shipping good purchase,0
225,cook rice,1
226,first thing happened tracking,0
227,good case,0
228,pick laundry shop,1
229,works like charm works advertised,0
230,stay away q,0
231,great phone,0
232,perhaps phone defective people cannot hear use,0
233,im quite satisfied purchase,0
234,enough volume,0
235,really easy,0
236,works good,0
237,clean surroundings,1
238,great deal,0
239,pick laundry,1
240,sanyo survived dozens drops blacktop without ill effect,0
241,results phone either stuck max volume mute,0
242,continue pairing periodically since somehow kept dropping,0
243,good bargain,0
244,nice headset priced right,0
245,att clear sound distorted yell talk,0
246,conducting surveys,1
247,feed cat dog,1
248,better expected,0
249,product ideal people like whose ears sensitive,0
250,translate essay english,1
251,better new,0
252,everything product wrongfirst,0
253,clean sleeping room,1
254,drive family around,1
255,good thing fits comfortably small ears,0
256,design good4,0
257,item great installed let charged overnite working good every since problems,0
258,disappointment,0
259,buying rice,1
260,looks good picture case huge disappointment,0
261,im bit disappointed,0
262,buy meat buy fish buy vegetables,1
263,car charger well ac charger included make sure never run juicehighy recommended,0
264,excellent product price,0
265,couldnt figure,0
266,purchase different case,0
267,felt light tinny,0
268,really like product motorola allot clearer ear piece mic,0
269,great pocket pc phone combination,0
270,walk dog outside,1
271,clean house,1
272,tried talking real loud shouting telephone gets old still told wasnt great,0
273,looking shop,1
274,buy meat fish vegetables,1
275,posted detailed comments grey black phone fire red great color,0
276,drive relative tourist spot,1
277,love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,0
278,phone pretty sturdy ive never large problems,0
279,pay water electric bills,1
280,make assignments,1
281,carry heavy luggage,1
282,basically threw money window nothing,0
283,good phone,0
284,stroll together dog,1
285,help assignments,1
286,check completeness documents,1
287,lasted one day blew,0
288,doesnt work,0
289,disappointed accessoryone,0
290,babysitting child,1
291,sweeping balcony floor,1
292,wear everyday holds well,0
293,jerks phone,0
294,water plants garden,1
295,bring someone bondpapers,1
296,unreliable im giving,0
297,phone also take great pictures even video clips,0
298,yes shiny front side love,0
299,poor voice clarity,0
300,deliver food family,1
301,picking laundry,1
302,happy far,0
303,display excellent camera good year,0
304,provides good protection looks classy,0
305,put latest os v115g likes slow crawl lock every,0
306,sweep floor,1
307,battery lasts hours,0
308,dont bother go store,0
309,items stated included description included,0
310,clicks place way makes wonder long mechanism would last,0
311,wash hair,1
312,great phone,0
313,big waste time,0
314,good product good seller,0
315,cool phone,0
316,carrying heavy luggage,1
317,virgin wireless rocks cheap little phone,0
318,audio quality poor poor,0
319,phone thorn side really abhor,0
320,wont work right atleast,0
321,make various educational materials,1
322,item fantastic works perfectly,0
323,buyers remorse one,0
324,feeding cat dog,1
325,pick laundry shop,1
326,lightweight works well,0
327,pay bills,1
328,great ipods,0
329,frog phone charm adorable eye catching,0
330,easy pair samsung cell,0
331,print documents,1
332,worth every penny,0
333,thank great service,0
334,document encoding,1
335,headsets easy use everyone loves,0
336,product great makes working lot easier go copier waiting hold something,0
337,get broken electronics fixed,1
338,write papers,1
339,buttons bad,0
340,buy additional ingredients,1
341,make educational materials lecture,1
342,allows possibility double booking date time first,0
343,freezes frequently4,0
344,connected wifes bluetoothmotorola hs850 phone worked like charm whether phone pocket case,0
345,one didnt work either,0
346,ive missed numerous calls reason,0
347,feels comfortable headsets wear glasses gets way sometimes,0
348,submit reports,1
349,love features form factor,0
350,horrible,0
351,much hype phone assumed best mistake,0
352,also phone dropped case going save specially dropped face,0
353,clean garage,1
354,clear crisp sound,0
355,received orders well within shipping timeframe everything good working order overall excited source,0
356,mic doesnt work,0
357,maintain connection computer lap,0
358,pick location drop location,1
359,fast service,0
360,plastic breaks really easy clip,0
361,phone holds charge like new,0
362,microphone also works well according people called applifies everything,0
363,joy use,0
364,comfort whole family,0
365,worked great,0
366,ive bluetoooth headset time still comfortable way fits ear,0
367,disappointing thing speakerphone,0
368,carrying heavy luggage,1
369,buy drinking water grocery,1
370,simple lightweight great fit,0
371,take battery phone put back together restart,0
372,send emails,1
373,buy drinking water,1
374,nice docking station home work,0
375,got small adorable,0
376,buy kopitea coffee store,1
377,poor product,0
378,everything description said would,0
379,warranty problems reoccurebottom line put money somewhere else cingular support,0
380,great camera thats 2mp pics nice clear great picture quality,0
381,pay bills,1
382,bottowm lineanother worthless cheap gimmick sprint,0
383,headphones great find think perhaps best purchase ive made last several years seriously,0
384,bought use kindle fire absolutely loved,0
385,lately extremely nice helpful phone,0
386,dont buy product,0
387,tmobile best customer service anywhere,0
388,reading specs alone makes say wow,0
389,good stuff price,0
390,product useless since enough charging current charge 2 cellphones planning use,0
391,house getting dropped coverage upstairs coverage basement,0
392,dont buy product fails,0
393,worst ever,0
394,sweep floor,1
395,adapter provide enough charging current,0
396,ive trouble accessing internet downloading ringtones performing functions,0
397,disappointing accessory good manufacturer,0
398,piece junk broke phone 2 days,0
399,found product easy set use,0
