,sentence,label
0,microphone also works well according people called applifies everything,0
1,cable looks thin flimsy scary,0
2,really wanted plantronics 510 right one many issues methe good,0
3,would take long describe bad customer service experience amazon,0
4,disappointed,0
5,horrible phone,0
6,easy turn car volume controls quite accessable,0
7,happy,0
8,w810i superb,0
9,buy bread,1
10,ill drivng along headset starts ringing reason,0
11,bought nokia cell phone weeks ago nightmare,0
12,great product,0
13,bring food grandfather two houses house,1
14,stupid,0
15,echo problemvery unsatisfactory,0
16,battery lasts hours,0
17,ive owned phone 7 months say best mobile phone ive,0
18,bought use kindle fire absolutely loved,0
19,appears actually outperform original battery china came v325i,0
20,great deal,0
21,real improvement,0
22,item worked great broke 6 months use,0
23,couldnt figure,0
24,conduct survey,1
25,needless say wasted money,0
26,order,0
27,lightweight works well,0
28,disappointment,0
29,drive somewhere,1
30,network coverage los angeles horrible,0
31,like fact rests lightly ear rather inside,0
32,would recommend others,0
33,disappointed,0
34,laundry,1
35,leopard print wonderfully wild,0
36,whine internet goesthe use thing less like,0
37,voice recognition tremendous,0
38,great phone,0
39,cool phone,0
40,loudglad say plantronics 510 maintains flawless connection cell static normal use,0
41,however keypads tinny sometimes reach wrong buttons,0
42,reception headset excellent,0
43,reversible plug works great,0
44,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,0
45,volume ringer real good choices loud,0
46,clean house,1
47,happy product,0
48,dissapointing performance,0
49,seller shipped quickly much cheaper competitors,0
50,simple lightweight great fit,0
51,dont waste money time,0
52,cool,0
53,print documents,1
54,beware,0
55,youll love thin,0
56,dont waste one,0
57,especially love long battery life,0
58,worst phone ever,0
59,design computer related tasks,1
60,best headset ever,0
61,like loud buzzing override conversations phone,0
62,purchased family friends enjoy clarity ease use,0
63,works fine,0
64,verizon tech support walked procedures none worked ended hard reset wiping data,0
65,happy product,0
66,better youd expect,0
67,fits comfortably came three sizes earbud tips,0
68,finds cell phone right away enter car,0
69,plus seriously believe worth steep price point,0
70,jerks phone,0
71,comfortable,0
72,best electronics available fm transmitters,0
73,battery working well replacement original came phone 2 years ago,0
74,best rotating feature helpful,0
75,bt50 battery junk,0
76,deliver foods,1
77,authentic leather nice shine comfort recommend case,0
78,contacted company told although unit still warranty couldnt produce receipt luck,0
79,must study anyone interested worst sins industrial design,0
80,portable works,0
81,product great makes working lot easier go copier waiting hold something,0
82,krussel always good,0
83,worst piece crap ever along verizon customer service,0
84,work cell phone plug set charger,0
85,excellent,0
86,clean house,1
87,holster arrived match photo ad,0
88,big waste time,0
89,small dont even realize getting used,0
90,used bitpim free program find internetto transfer data phonethe price cable excellent,0
91,phone doesnt slide around car grip prevents phone slipping hand,0
92,works,0
93,disappointment,0
94,cheap hey works pleasantly suprised given low cost item,0
95,nice leather,0
96,despite flaws case exceptional quality well worth additional costs owning official oem product,0
97,piece junk,0
98,love ringtones upbeat,0
99,gave 5 stars sound quality,0
100,virgin wireless rocks cheap little phone,0
101,piece junk lose calls phone,0
102,cook rice,1
103,shifting bubbling peeling even scratch nothingi couldnt happier new one droid,0
104,waste money,0
105,got aluminum case new palm vx worked really wellit protected handheld perfectly far,0
106,setup couldnt simpler,0
107,would recommend item,0
108,problem ear loops made weak material break easily,0
109,soyo technology sucks,0
110,camera phone may used dustpan indoors id rather using disposable,0
111,absolutely great,0
